# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 341K of event 'cycles'
# Event count (approx.): 225467342757
#
# Overhead  Command  Shared Object      Symbol                                     
# ........  .......  .................  ...........................................
#
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_recvdata                           
     0.00%  pigz     [kernel.kallsyms]  [k] do_csum                                
     0.00%  pigz     [kernel.kallsyms]  [k] hrtimer_forward                        
     0.00%  pigz     [kernel.kallsyms]  [k] tcp_check_space                        
     0.00%  pigz     [kernel.kallsyms]  [k] irq_entries_start                      
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_isr                                
     0.00%  pigz     [kernel.kallsyms]  [k] __vma_adjust_trans_huge                
     0.00%  pigz     [kernel.kallsyms]  [k] down_read_trylock                      
     0.00%  pigz     [kernel.kallsyms]  [k] perf_event_aux_ctx                     
     0.00%  pigz     [kernel.kallsyms]  [k] uncharge_batch                         
     0.00%  pigz     pigz               [.] DeflateDynamicBlock                    
     0.00%  pigz     [kernel.kallsyms]  [k] __alloc_pages_nodemask                 
     0.00%  pigz     [kernel.kallsyms]  [k] mem_cgroup_commit_charge               
     0.00%  pigz     [kernel.kallsyms]  [k] mem_cgroup_update_lru_size             
     0.00%  pigz     pigz               [.] ZopfliWarmupHash                       
     0.00%  pigz     [kernel.kallsyms]  [k] add_interrupt_randomness               
     0.00%  pigz     [kernel.kallsyms]  [k] x86_pmu_disable                        
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_scbfindband                        
     0.00%  pigz     [kernel.kallsyms]  [k] mod_timer                              
     0.00%  pigz     [kernel.kallsyms]  [k] irq_work_tick                          
     0.00%  pigz     [kernel.kallsyms]  [k] internal_add_timer                     
     0.00%  pigz     [kernel.kallsyms]  [k] tcp_rcv_established                    
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_phytxctl1_calc                     
     0.00%  pigz     [kernel.kallsyms]  [k] osl_pkttag                             
     0.00%  pigz     [kernel.kallsyms]  [k] put_page                               
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_phy_get_spurmode                   
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_dotxstatus                         
     0.00%  pigz     [kernel.kallsyms]  [k] __tasklet_schedule                     
     0.00%  pigz     [kernel.kallsyms]  [k] read_radio_reg                         
     0.00%  pigz     [kernel.kallsyms]  [k] unmap_underlying_metadata              
     0.00%  pigz     [kernel.kallsyms]  [k] lapic_next_deadline                    
     0.00%  pigz     [kernel.kallsyms]  [k] __find_get_block                       
     0.00%  pigz     [kernel.kallsyms]  [k] swiotlb_map_page                       
     0.00%  pigz     pigz               [.] AddWeighedStatFreqs                    
     0.00%  pigz     [kernel.kallsyms]  [k] ntp_tick_length                        
     0.00%  pigz     [kernel.kallsyms]  [k] run_rebalance_domains                  
     0.00%  pigz     [kernel.kallsyms]  [k] _raw_spin_lock_irq                     
     0.00%  pigz     [kernel.kallsyms]  [k] reschedule_interrupt                   
     0.00%  pigz     [kernel.kallsyms]  [k] fib_table_lookup                       
     0.00%  pigz     [kernel.kallsyms]  [k] tick_sched_handle.isra.16              
     0.00%  pigz     libc-2.19.so       [.] @plt                                   
     0.00%  pigz     [kernel.kallsyms]  [k] ext4_file_write_iter                   
     0.00%  pigz     [kernel.kallsyms]  [k] tick_do_update_jiffies64               
     0.00%  pigz     [kernel.kallsyms]  [k] tick_program_event                     
     0.00%  pigz     pigz               [.] Ran                                    
     0.00%  pigz     [kernel.kallsyms]  [k] system_call                            
     0.00%  pigz     pigz               [.] single_compress                        
     0.00%  pigz     [kernel.kallsyms]  [k] update_min_vruntime                    
     0.00%  pigz     [kernel.kallsyms]  [k] __note_gp_changes                      
     0.00%  pigz     pigz               [.] ZopfliCleanHash                        
     0.00%  pigz     [kernel.kallsyms]  [k] read_tsc                               
     0.00%  pigz     pigz               [.] realloc@plt                            
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_recv                               
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_get_txh_info                       
     0.00%  pigz     [kernel.kallsyms]  [k] tcp_event_data_recv                    
     0.00%  pigz     [kernel.kallsyms]  [k] __skb_checksum_complete                
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_valid_channel20_in_band            
     0.00%  pigz     [kernel.kallsyms]  [k] memset                                 
     0.00%  pigz     [kernel.kallsyms]  [k] eoi_ioapic_irq                         
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_bmac_4331_epa_init                 
     0.00%  pigz     [kernel.kallsyms]  [k] __kmalloc                              
     0.00%  pigz     [kernel.kallsyms]  [k] pick_next_task_fair                    
     0.00%  pigz     [kernel.kallsyms]  [k] smp_apic_timer_interrupt               
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_ratesel_upd_txs_ampdu              
     0.00%  pigz     [kernel.kallsyms]  [k] balance_dirty_pages_ratelimited        
     0.00%  pigz     [kernel.kallsyms]  [k] ppr_get_vht_mcs                        
     0.00%  pigz     [kernel.kallsyms]  [k] ppr_get_min                            
     0.00%  pigz     [kernel.kallsyms]  [k] swiotlb_tbl_unmap_single               
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_stf_ant_txant_validate             
     0.00%  pigz     [kernel.kallsyms]  [k] ext4_da_write_begin                    
     0.00%  pigz     [kernel.kallsyms]  [k] __netif_receive_skb_core               
     0.00%  pigz     [kernel.kallsyms]  [k] eth_type_trans                         
     0.00%  pigz     [kernel.kallsyms]  [k] write_radio_reg                        
     0.00%  pigz     [kernel.kallsyms]  [k] wl_isr                                 
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_wsec_recvdata                      
     0.00%  pigz     [kernel.kallsyms]  [k] __tcp_select_window                    
     0.00%  pigz     [kernel.kallsyms]  [k] idle_cpu                               
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_valid_channel20                    
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_amsdu_detach                       
     0.00%  pigz     [kernel.kallsyms]  [k] ip_rcv                                 
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_rspec_to_rts_rspec_ex              
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_lq_rssi_update_ma                  
     0.00%  pigz     [kernel.kallsyms]  [k] osl_pktsetlink                         
     0.00%  pigz     [kernel.kallsyms]  [k] clm_country_flags                      
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_amsdu_dotxstatus                   
     0.00%  pigz     [kernel.kallsyms]  [k] netif_skb_features                     
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_ampdu_tx_attach                    
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_txstop_intr                        
     0.00%  pigz     [kernel.kallsyms]  [k] skb_release_data                       
     0.00%  pigz     [kernel.kallsyms]  [k] call_timer_fn                          
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_iovar_op                           
     0.00%  pigz     pigz               [.] ZopfliLengthsToSymbols                 
     0.00%  pigz     [kernel.kallsyms]  [k] tcp_options_write                      
     0.00%  pigz     [kernel.kallsyms]  [k] tcp_wfree                              
     0.00%  pigz     pigz               [.] writen                                 
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_phy_attach_sslpnphy                
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_prep80211_raw                      
     0.00%  pigz     [kernel.kallsyms]  [k] kmem_cache_alloc                       
     0.00%  pigz     [kernel.kallsyms]  [k] kfree_skbmem                           
     0.00%  pigz     [kernel.kallsyms]  [k] osl_pktpull                            
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_acphy_txctl1_calc                  
     0.00%  pigz     [kernel.kallsyms]  [k] handle_irq_event                       
     0.00%  pigz     [kernel.kallsyms]  [k] find_next_bit                          
     0.00%  pigz     [kernel.kallsyms]  [k] get_nohz_timer_target                  
     0.00%  pigz     [kernel.kallsyms]  [k] mod_timer_pinned                       
     0.00%  pigz     [kernel.kallsyms]  [k] __find_get_block_slow                  
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_amsdu_pkt_freed                    
     0.00%  pigz     [kernel.kallsyms]  [k] rcu_accelerate_cbs                     
     0.00%  pigz     [kernel.kallsyms]  [k] handle_fasteoi_irq                     
     0.00%  pigz     [kernel.kallsyms]  [k] ktime_get                              
     0.00%  pigz     [kernel.kallsyms]  [k] __build_skb                            
